1.64,1.9222,-0.9782,4.8302,1.5482,-0.0268,1.2215
1.66,1.908,-0.7104,4.8657,1.5623,-0.026,1.2068
1.68,1.8992,-0.4392,4.9004,1.5777,-0.0252,1.1991
1.7,1.896,-0.1619,4.9344,1.5945,-0.0244,1.1986
1.72,1.8985,0.1231,4.9677,1.6127,-0.0236,1.2054
1.74,1.9068,0.4181,5.0004,1.6324,-0.0228,1.2199
1.76,1.9214,0.7264,5.0325,1.6535,-0.0219,1.2426
1.78,1.9424,1.0516,5.064,1.6762,-0.0211,1.2742
1.8,1.9704,1.3992,5.0951,1.7004,-0.0202,1.3158
1.82,2.0059,1.7744,5.1258,1.7262,-0.0193,1.3686
1.84,2.0496,2.1879,5.1561,1.7538,-0.0184,1.4345
1.86,2.1026,2.6478,5.1862,1.7831,-0.0175,1.5159
1.88,2.162,2.9702,5.2161,1.8144,-0.0165,1.616
1.9,2.1603,-0.0821,5.245,1.8466,-0.0155,1.7352
1.92,2.1003,-3.0003,5.2721,1.8787,-0.0146,1.8725
1.94,2.0403,-3.0003,5.2976,1.9105,-0.0138,2.03
1.96,1.9803,-2.9994,5.3216,1.942,-0.0129,2.2105
1.98,1.9203,-2.9999,5.3443,1.973,-0.0121,2.4175
2,1.8603,-3.0008,5.3658,2.0033,-0.0113,2.6556
2.02,1.8003,-2.9991,5.3861,2.0331,-0.0105,2.9311
2.04,1.7403,-3.0009,5.4053,2.0621,-0.0098,3.2518
2.06,1.6803,-2.9999,5.4236,2.0903,-0.0091,3.6282
2.08,1.6203,-2.9995,5.4409,2.1177,-0.0084,4.0758
2.1,1.5603,-2.9999,5.4574,2.1442,-0.0078,4.6144
2.12,1.5003,-3.0002,5.4731,2.1698,-0.0072,5.2743
2.14,1.4403,-3.0006,5.4879,2.1944,-0.0066,6.0973
2.16,1.3803,-2.999,5.5021,2.2182,-0.006,7.1529
2.18,1.3203,-3.001,5.5155,2.2409,-0.0055,8.5476
2.2,1.2603,-3.0001,5.5283,2.2626,-0.005,10.4794
2.22,1.2003,-2.9989,5.5404,2.2834,-0.0045,13.3167
2.24,1.1403,-3.0009,5.5519,2.3031,-0.0041,17.864
2.26,1.0803,-2.9996,5.5627,2.3218,-0.0036,26.2935
2.28,1.0203,-3.0004,5.5729,2.3394,-0.0032,47.4796
2.3,0.9603,-3,5.5826,2.356,-0.0028,183.7334
2.32,0.9003,-2.9993,5.5916,2.3716,-0.0025,106.5389
2.34,0.8403,-3.0016,5.6,2.3862,-0.0021,44.1953
2.36,0.7803,-2.9975,5.6078,2.3997,-0.0018,28.6134
2.38,0.7203,-3.0015,5.615,2.4122,-0.0016,21.7013
2.4,0.6603,-3.0005,5.6217,2.4236,-0.0013,17.8208
