# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,180.0,180.0,Infinity,0.0,0.0,0.0
 0.0597066041093218,0.008912196435668207,0.1492665102733045,2.5000000000000004,180.0,180.092,Infinity,0.0,0.0,0.0
 0.08439129092825265,0.017804724961342444,0.36024473759393605,8.546927448106448,180.0,180.184,Infinity,0.0,0.0,0.0
 0.10330076140721686,0.02667761826827686,0.46923013083867365,5.763534910508366,180.0,180.276,Infinity,0.0,0.0,0.0
 0.11921561818439477,0.035530909047718495,0.5562909489790293,5.470411663723037,180.0,180.368,Infinity,0.0,0.0,0.0
 0.1332135578549293,0.0443646299909215,0.6310729400983107,5.342357009631672,180.0,180.46,Infinity,0.0,0.0,0.0
 0.14584761059288517,0.053178813789134693,0.6976529211195367,5.2698831010260845,180.0,180.552,Infinity,0.0,0.0,0.0
 0.15744649012742357,0.06197349313361222,0.7582352518007712,5.223119224648932,180.0,180.644,Infinity,0.0,0.0,0.0
 0.16822449371670545,0.07074870071560468,0.8141774596103226,5.190405379451049,180.0,180.736,Infinity,0.0,0.0,0.0
 0.17833055736621548,0.07950446922636267,0.8663876277073017,5.166221974023526,180.0,180.828,Infinity,0.0,0.0,0.0
 0.1878731820746503,0.08824083135713678,0.9155093486021658,5.147611102367343,180.0,180.92,Infinity,0.0,0.0,0.0
 0.1969343238739059,0.09695781979918117,0.9620187648713913,5.132842780701928,180.0,181.012,Infinity,0.0,0.0,0.0
 0.20557769066097092,0.10565546724374464,1.0062800363371907,5.12083688638983,180.0,181.104,Infinity,0.0,0.0,0.0
 0.21385397483523919,0.1143338063820778,1.0485791637405253,5.1108838837175945,180.0,181.196,Infinity,0.0,0.0,0.0
 0.22180430104525617,0.12299286990543656,1.0891456897012368,5.102498298698723,180.0,181.288,Infinity,0.0,0.0,0.0
 0.2294625812676781,0.13163269050506443,1.1281672057823349,5.095336674525275,180.0,181.38,Infinity,0.0,0.0,0.0
 0.2368571728888284,0.14025330087222088,1.165799385391268,5.089149142637725,180.0,181.472,Infinity,0.0,0.0,0.0
 0.24401207650290685,0.14885473369815116,1.202173123479338,5.083749558344671,180.0,181.564,Infinity,0.0,0.0,0.0
 0.2509478206114659,0.15743702167411122,1.2373997427859345,5.078996392488722,180.0,181.656,Infinity,0.0,0.0,0.0
 0.2576821278174719,0.16600019749134987,1.271574871072348,5.0747801133774395,180.0,181.748,Infinity,0.0,0.0,0.0
 0.2642304250771405,0.17454429384111592,1.3047813822365257,5.071014623709714,180.0,181.84,Infinity,0.0,0.0,0.0
 0.27060624044146897,0.1830693434146653,1.3370916637965233,5.067631308893886,180.0,181.932,Infinity,0.0,0.0,0.0
 0.2768215157123813,0.19157537890325038,1.3685693903846226,5.0645748122236816,180.0,182.024,Infinity,0.0,0.0,0.0
 0.2828868558262223,0.20006243299811466,1.3992709288465022,5.06179997916673,180.0,182.116,Infinity,0.0,0.0,0.0
 0.2888117299491275,0.20853053839051938,1.4292464644383807,5.059269609795566,180.0,182.208,Infinity,0.0,0.0,0.0
 0.294604635246432,0.21697972777170804,1.4585409129888927,5.056952780523297,180.0,182.3,Infinity,0.0,0.0,0.0
 0.3002732314629015,0.225410033832933,1.4871946667733298,5.054823573636545,180.0,182.392,Infinity,0.0,0.0,0.0
 0.3058244524333856,0.2338214892654502,1.515244209740717,5.052860103484843,180.0,182.484,Infinity,0.0,0.0,0.0
 0.31126459918243626,0.2422141267605067,1.5427226290395566,5.051043761573996,180.0,182.576,Infinity,0.0,0.0,0.0
 0.3165994181986811,0.25058797900935836,1.5696600434527987,5.049358625141019,180.0,182.668,Infinity,0.0,0.0,0.0
 0.32183416767226597,0.2589430787032505,1.5960839646773735,5.047790989408897,180.0,182.76,Infinity,0.0,0.0,0.0
 0.3269736738842658,0.2672794585334355,1.62201960389133,5.046328994291596,180.0,182.852,Infinity,0.0,0.0,0.0
 0.3320223794813652,0.27559715119116923,1.6474901334140841,5.044962324083137,180.0,182.944,Infinity,0.0,0.0,0.0
 0.3369843850196626,0.28389618936770056,1.672516911252573,5.043681963941606,180.0,183.036,Infinity,0.0,0.0,0.0
 0.34186348489084356,0.29217660575428006,1.6971196747762565,5.042480001076191,180.0,183.12800000000001,Infinity,0.0,0.0,0.0
 0.3466631985326151,0.30043843304215834,1.7213167085586494,5.041349461311162,180.0,183.22,Infinity,0.0,0.0,0.0
 0.35138679765898406,0.30868170392258953,1.7451249904789983,5.040284173871139,180.0,183.312,Infinity,0.0,0.0,0.0
 0.3560373301140331,0.31690645108682247,1.768560319432543,5.039278658963278,180.0,183.404,Infinity,0.0,0.0,0.0
 0.36061764084753783,0.3251127072261095,1.7916374274039346,5.038328033638369,180.0,183.496,Infinity,0.0,0.0,0.0
 0.36513039042605105,0.3333005050317013,1.8143700781839807,5.03742793269189,180.0,183.588,Infinity,0.0,0.0,0.0
 0.36957807142461796,0.3414698771948501,1.83677115462667,5.036574441806256,180.0,183.68,Infinity,0.0,0.0,0.0
 0.3739630229885328,0.34962085640680485,1.8588527360328793,5.035764040799355,180.0,183.772,Infinity,0.0,0.0,0.0
 0.37828744380897517,0.3577534753588214,1.88062616699376,5.0349935551955465,180.0,183.864,Infinity,0.0,0.0,0.0
 0.3825534037188255,0.3658677667421468,1.9021021188195077,5.034260114859137,180.0,183.95600000000002,Infinity,0.0,0.0,0.0
