# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.004355831534807483,0.0000474331708990583,0.01088957883701871,2.5000000000000004,0.0,0.0,Infinity,0.0,0.0,0.0
 0.008700062828722422,0.00018922773305929397,0.032639735908824755,5.006675657963234,0.0,0.0,Infinity,0.0,0.0,0.0
 0.013032670649975814,0.0004246262606768525,0.05433183369674559,5.006706972533108,0.0,0.0,Infinity,0.0,0.0,0.0
 0.0173536316423469,0.0007528713279456589,0.07596575573080681,5.006738564003982,0.0,0.0,Infinity,0.0,0.0,0.0
 0.02166292232420561,0.0011732055090614146,0.09754138491638126,5.006770435887211,0.0,0.0,Infinity,0.0,0.0,0.0
 0.025960519087412877,0.001684871378219821,0.11905860352904628,5.00680259182969,0.0,0.0,Infinity,0.0,0.0,0.0
 0.030246398196252664,0.0022871115096156913,0.14051729320916387,5.006835035514238,0.0,0.0,Infinity,0.0,0.0,0.0
 0.03452053578636509,0.002979168477444283,0.1619173349565445,5.006867770678796,0.0,0.0,Infinity,0.0,0.0,0.0
 0.038782907863649685,0.003760284855900853,0.18325860912503705,5.006900801135199,0.0,0.0,Infinity,0.0,0.0,0.0
 0.04303349030315906,0.0046297032191802145,0.20454099541702206,5.006934130759155,0.0,0.0,Infinity,0.0,0.0,0.0
 0.047272258847986616,0.005586666141477625,0.22576437287786438,5.0069677634889,0.0,0.0,Infinity,0.0,0.0,0.0
 0.05149918910813733,0.006630416196989231,0.24692861989030992,5.00700170333326,0.0,0.0,Infinity,0.0,0.0,0.0
 0.055714256559372496,0.007760195959908955,0.26803361416877436,5.007035954378364,0.0,0.0,Infinity,0.0,0.0,0.0
 0.0599174365420716,0.008975248004432945,0.28907923275361025,5.0070705207634925,0.0,0.0,Infinity,0.0,0.0,0.0
 0.06410870426005022,0.010274814904756457,0.31006535200530505,5.0071054067183445,0.0,0.0,Infinity,0.0,0.0,0.0
 0.06828803477937803,0.011658139235073861,0.33099184759857003,5.0071406165384404,0.0,0.0,Infinity,0.0,0.0,0.0
 0.07245540302718745,0.013124463569580413,0.35185859451641405,5.007176154594126,0.0,0.0,Infinity,0.0,0.0,0.0
 0.07661078379046075,0.014673030482471816,0.372665467044121,5.007212025334792,0.0,0.0,Infinity,0.0,0.0,0.0
 0.08075415171480353,0.01630308254794377,0.3934123387631605,5.007248233290885,0.0,0.0,Infinity,0.0,0.0,0.0
 0.084885481303202,0.018013862340190645,0.4140990825450134,5.007284783074442,0.0,0.0,Infinity,0.0,0.0,0.0
 0.0890047469147746,0.019804612433407698,0.43472557054494126,5.007321679374154,0.0,0.0,Infinity,0.0,0.0,0.0
 0.09311192276350046,0.021674575401790186,0.4552916741956871,5.007358926968256,0.0,0.0,Infinity,0.0,0.0,0.0
 0.09720698291693528,0.023622993819533367,0.47579726420108964,5.007396530720809,0.0,0.0,Infinity,0.0,0.0,0.0
 0.10128990129491279,0.02564911026083294,0.4962422105296205,5.007434495582126,0.0,0.0,Infinity,0.0,0.0,0.0
 0.10536065166822627,0.02775216729988328,0.5166263824078481,5.007472826597193,0.0,0.0,Infinity,0.0,0.0,0.0
 0.10941920765730398,0.029931407510880526,0.536949648313825,5.00751152889608,0.0,0.0,Infinity,0.0,0.0,0.0
 0.11346554273085482,0.032186073468018606,0.557211875970397,5.007550607713515,0.0,0.0,Infinity,0.0,0.0,0.0
 0.11749963020451444,0.03451540774549411,0.5774129323384237,5.007590068368263,0.0,0.0,Infinity,0.0,0.0,0.0
 0.12152144323945696,0.036918652917501404,0.5975526836099289,5.007629916290471,0.0,0.0,Infinity,0.0,0.0,0.0
 0.12553095484100446,0.03939505155823575,0.6176309952011515,5.007670157001984,0.0,0.0,Infinity,0.0,0.0,0.0
 0.12952813785721287,0.041943846241892846,0.6376477317455418,5.007710796133991,0.0,0.0,Infinity,0.0,0.0,0.0
 0.13351296497743892,0.04456427954266706,0.6576027570866279,5.0077518394208465,0.0,0.0,Infinity,0.0,0.0,0.0
 0.13748540873089707,0.047255594034754544,0.6774959342708378,5.007793292703569,0.0,0.0,Infinity,0.0,0.0,0.0
 0.1414454414851891,0.050017032292350105,0.6973271255402166,5.007835161940288,0.0,0.0,Infinity,0.0,0.0,0.0
 0.14539303544482257,0.05284783688964856,0.7170961923250285,5.007877453193644,0.0,0.0,Infinity,0.0,0.0,0.0
 0.14932816264971002,0.055747250400845605,0.7368029952363314,5.007920172650817,0.0,0.0,Infinity,0.0,0.0,0.0
 0.15325079497364585,0.05871451540013606,0.7564473940583867,5.007963326612463,0.0,0.0,Infinity,0.0,0.0,0.0
 0.15716090412276923,0.06174887446171562,0.7760292477410375,5.008006921505249,0.0,0.0,Infinity,0.0,0.0,0.0
 0.16105846163400256,0.06484957015977866,0.7955484143919316,5.008050963875953,0.0,0.0,Infinity,0.0,0.0,0.0
 0.16494343887347782,0.06801584506852176,0.8150047512687033,5.008095460399581,0.0,0.0,Infinity,0.0,0.0,0.0
 0.16881580703493246,0.07124694176213886,0.8343981147710259,5.008140417887724,0.0,0.0,Infinity,0.0,0.0,0.0
 0.17267553713809686,0.07454210281482565,0.8537283604325735,5.008185843279487,0.0,0.0,Infinity,0.0,0.0,0.0
 0.17652260002705308,0.07790057080077739,0.8729953429128762,5.008231743653698,0.0,0.0,Infinity,0.0,0.0,0.0
